Pos.,Selección,TJ,Pts.,PJ,PG,PE,PP,GF,GC,Dif.,Títulos,Rend.
1,Brasil Brasil,22,247,114,76,19,19,237,108,129,5.0,72.32
2,Alemania Alemania[n 1]​,20,225,112,68,21,23,232,130,102,4.0,66.96
3,Argentina Argentina,18,158,88,47,17,24,152,101,51,3.0,59.84
4,Italia Italia,18,156,83,45,21,17,128,77,51,4.0,62.65
5,Francia Francia,16,131,73,39,14,20,136,85,51,2.0,59.81
6,Inglaterra Inglaterra,16,118,74,32,22,20,104,68,36,1.0,53.15
7,España España,16,110,67,31,17,19,108,75,33,1.0,55.05
8,Países Bajos Países Bajos,11,104,55,30,14,11,96,52,44,,63.03
9,Uruguay Uruguay,14,88,59,25,13,21,89,76,13,2.0,49.71
10,Bélgica Bélgica,14,73,51,21,10,20,69,74,-5,,47.71
11,Suecia Suecia,12,70,51,19,13,19,80,73,7,,45.75
12,Rusia Rusia[n 2]​,11,67,45,19,10,16,77,54,23,,49.62
13,México México,17,66,60,17,15,28,62,101,-39,,36.66
14,Serbia Serbia[n 3]​,13,63,49,18,9,22,71,71,0,,42.85
15,Portugal Portugal,8,57,35,17,6,12,61,41,20,,54.28
16,Polonia Polonia,9,57,38,17,6,15,49,50,-1,,51.35
17,Suiza Suiza,12,50,41,14,8,19,55,73,-18,,40.65
18,Hungría Hungría,9,48,32,15,3,14,87,57,30,,50.0
19,Croacia Croacia,6,47,30,13,8,9,43,33,10,,52.22
20,República Checa República Checa[n 4]​,9,41,33,12,5,16,47,49,-2,,41.41
21,Austria Austria,7,40,29,12,4,13,43,47,-4,,45.97
22,Chile Chile,9,40,33,11,7,15,40,49,-9,,40.4
23,Estados Unidos Estados Unidos,11,35,37,9,8,20,40,66,-26,,31.53
24,Dinamarca Dinamarca,6,33,23,9,6,8,31,29,2,,47.82
25,Paraguay Paraguay,8,31,27,7,10,10,30,38,-8,,38.27
26,Corea del Sur Corea del Sur,11,31,38,7,10,21,39,78,-39,,27.92
27,Colombia Colombia,6,30,22,9,3,10,32,30,2,,45.45
28,Rumania Rumania,7,29,21,8,5,8,30,32,-2,,46.03
29,Japón Japón,7,27,25,7,6,12,25,33,-8,,36.11
30,Costa Rica Costa Rica,6,23,21,6,5,10,22,39,-17,,36.5
31,Camerún Camerún,8,23,26,5,8,13,22,47,-25,,29.48
32,Marruecos Marruecos,6,22,23,5,7,11,20,27,-7,,31.88
33,Nigeria Nigeria,6,21,21,6,3,12,23,30,-7,,33.33
34,Escocia Escocia,8,19,23,4,7,12,25,41,-16,,27.53
35,Senegal Senegal,3,18,12,5,3,4,16,17,-1,,50.0
36,Ghana Ghana,4,18,15,5,3,7,18,23,-5,,40.0
37,Perú Perú,5,18,18,5,3,10,21,33,-12,,33.33
38,Ecuador Ecuador,4,17,13,5,2,6,14,14,0,,43.58
39,Bulgaria Bulgaria,7,17,26,3,8,15,22,53,-31,,21.79
40,Turquía Turquía,2,16,10,5,1,4,20,17,3,,53.33
41,Australia Australia,6,16,20,4,4,12,17,37,-20,,26.66
